,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
283,Isaiah Collier,21,UTA,PG,5,1,131,.600,8.4,.833,.200,.533,.100,.000,.167,.640,.833,.625,.333,,.400,.375,1.000,.000,0,.200,.000,0,0,,colliis01
284,Ousmane Dieng,22,OKC,C,11,0,130,.314,15.6,.543,.143,.229,.086,.086,.457,.421,.600,.250,.333,.667,.188,.500,.667,.029,1,.250,.000,0,0,,diengou01
285,Amir Coffey,28,MIL,SG,13,0,128,.421,14.2,.579,.211,.211,.105,.053,.421,.545,1.000,.250,.500,.000,.250,.333,1.000,.053,1,.875,.143,0,0,,coffeam01
286,Jonathan Isaac,28,ORL,PF,13,0,126,.379,15.6,.379,.310,.034,.000,.034,.621,.636,.667,1.000,,.000,.222,.429,1.000,.241,6,.833,.200,0,0,,isaacjo01
287,Ochai Agbaji,25,TOR,SG,9,1,125,.360,12.6,.520,.480,.040,.000,.000,.480,.615,.667,.000,,,.083,.875,1.000,.160,3,.500,.000,0,0,,agbajoc01
288,Drake Powell,20,BRK,SG,7,0,124,.529,14.1,.676,.206,.147,.235,.088,.324,.565,.714,.800,.250,.667,.455,.308,.800,.029,1,.091,.000,0,0,,poweldr01
289,Rob Dillingham,21,MIN,PG,11,0,123,.408,11.3,.796,.265,.286,.102,.143,.204,.436,.615,.357,.800,.000,.300,.353,.667,.000,0,.200,.000,0,0,,dilliro01
290,Bilal Coulibaly,21,WAS,SG,5,5,123,.364,12.6,.614,.295,.250,.045,.023,.386,.407,.769,.091,.000,.000,.294,.364,1.000,.205,7,.294,.400,0,0,,coulibi01
291,Bradley Beal,32,LAC,SG,6,6,121,.375,16.1,.604,.125,.146,.208,.125,.396,.379,.500,.571,.200,.333,.368,.727,1.000,.000,0,.211,.250,0,0,,bealbr01
292,Ja'Kobe Walter,21,TOR,SG,10,0,119,.323,20.3,.290,.097,.129,.065,.000,.710,.444,.333,.750,.000,,.273,1.000,1.000,.032,1,.091,.500,0,0,,walteja01
293,Precious Achiuwa,26,SAC,C,7,4,118,.548,9.1,.742,.355,.355,.032,.000,.258,.739,.818,.727,.000,,.000,.647,,.129,2,.750,.000,0,0,,achiupr01
294,Jaden Hardy,23,DAL,SG,11,0,117,.400,18.2,.378,.067,.178,.111,.022,.622,.412,.667,.500,.200,.000,.393,.429,.818,.000,0,.250,.429,0,0,,hardyja02
295,Karlo Matković,24,NOP,PF,11,0,115,.688,6.2,.813,.625,.188,.000,.000,.188,.769,.900,.333,,,.333,.750,1.000,.531,16,.333,.500,0,0,,matkoka01
296,Terrence Shannon Jr.,25,MIN,SG,7,0,115,.321,12.7,.607,.321,.214,.071,.000,.393,.294,.444,.167,.000,,.364,.200,.250,.036,1,.455,.200,0,0,,shannte01
297,Caleb Martin,30,DAL,SF,12,0,112,.278,13.5,.667,.278,.167,.000,.222,.333,.333,.600,.000,,.250,.167,1.000,1.000,.222,2,.833,.200,0,0,,martica02
298,Liam McNeeley,20,CHO,SF,9,0,112,.310,18.1,.379,.103,.241,.034,.000,.621,.273,.667,.143,.000,,.333,1.000,1.000,.000,0,.333,.333,0,0,,mcneeli01
299,Jeremy Sochan,22,SAS,PF,7,0,109,.630,10.2,.630,.519,.111,.000,.000,.370,.706,.714,.667,,,.500,.750,1.000,.296,5,.500,.600,0,0,,sochaje01
300,Clint Capela,31,HOU,C,11,0,108,.640,2.1,1.000,.720,.280,.000,.000,.000,.640,.778,.286,,,,.625,,.400,9,,,0,0,,capelca01
301,Moussa Cisse,23,DAL,C,10,0,108,.750,1.4,1.000,.875,.125,.000,.000,.000,.750,.762,.667,,,,.778,,.583,13,,,0,0,,cissemo01
302,Bronny James,21,LAL,SG,9,1,107,.269,15.4,.615,.115,.192,.231,.077,.385,.313,.667,.000,.500,.000,.200,.800,1.000,.038,1,.400,.000,0,0,,jamesbr02
303,Guerschon Yabusele,30,NYK,C,11,0,106,.323,18.6,.290,.226,.032,.032,.000,.710,.333,.429,.000,.000,,.318,.667,.857,.032,1,.364,.250,0,0,,yabusgu01
304,Chris Paul,40,LAC,PG,8,0,103,.240,23.0,.240,.000,.080,.080,.080,.760,.167,,.000,.500,.000,.263,.000,.600,.000,0,.105,.500,0,0,,paulch01
305,Justin Champagnie,24,WAS,SF,12,3,101,.320,12.3,.600,.280,.280,.040,.000,.400,.400,.429,.429,.000,,.200,.167,1.000,.080,1,.300,.000,0,0,,champju01
306,Bones Hyland,25,MIN,PG,11,0,101,.514,17.2,.371,.286,.057,.029,.000,.629,.769,.800,.500,1.000,,.364,.300,.500,.000,0,.182,.250,0,0,,hylanbo01
307,Quenton Jackson,27,IND,PG,5,3,101,.541,12.2,.676,.351,.189,.081,.054,.324,.560,.769,.429,.333,.000,.500,.357,1.000,.054,2,.083,.000,0,0,,jacksqu01
308,Baylor Scheierman,25,BOS,SG,10,0,100,.556,20.6,.167,.167,.000,.000,.000,.833,.667,.667,,,,.533,.000,1.000,.000,0,.400,.833,0,0,,scheiba01
309,Trayce Jackson-Davis,25,GSW,C,9,0,100,.536,2.6,1.000,.607,.393,.000,.000,.000,.536,.647,.364,,,,.733,,.393,9,,,0,0,,jackstr02
310,Robert Williams,28,POR,C,8,0,100,.615,4.9,.885,.692,.154,.038,.000,.115,.652,.722,.500,.000,,.333,.600,1.000,.538,11,.667,.000,0,0,,williro04
311,Pat Spencer,29,GSW,PG,9,0,99,.350,13.6,.675,.100,.300,.275,.000,.325,.333,.750,.167,.364,,.385,.222,.600,.025,1,.154,.000,0,0,,spencpa01
312,Javon Small,23,MEM,PG,8,0,99,.357,19.5,.321,.071,.179,.071,.000,.679,.444,1.000,.200,.500,,.316,.750,.667,.000,0,.000,,0,0,,smallja01
313,Kevon Looney,29,NOP,C,7,6,99,.348,10.3,.739,.391,.174,.087,.087,.261,.412,.556,.500,.000,.000,.167,.429,1.000,.000,0,.167,.000,0,0,,looneke01
314,Kevin Love,37,UTA,PF,7,0,99,.360,22.7,.160,.040,.080,.000,.040,.840,.750,1.000,.500,,1.000,.286,.667,1.000,.000,0,.143,.667,0,0,,loveke01
315,Dwight Powell,34,DAL,C,11,0,98,.500,2.6,1.000,.667,.333,.000,.000,.000,.500,.500,.500,,,,.833,,.250,1,,,0,0,,poweldw01
316,Chaz Lanier,24,DET,SG,9,0,98,.333,24.2,.133,.000,.000,.067,.067,.867,.500,,,1.000,.000,.308,.000,.875,.000,0,.192,.200,0,0,,laniech01
317,Blake Wesley,22,POR,SG,6,0,98,.412,12.6,.706,.353,.088,.147,.118,.294,.500,.667,.667,.200,.250,.200,.167,1.000,.000,0,.100,.000,0,0,,weslebl01
318,Cody Williams,21,UTA,SG,8,0,97,.360,13.9,.560,.080,.440,.000,.040,.440,.500,1.000,.455,,.000,.182,.857,1.000,.080,1,.818,.111,0,0,,willico04
319,Ben Saraf,19,BRK,SG,7,5,97,.259,14.0,.519,.296,.148,.074,.000,.481,.286,.250,.250,.500,,.231,.000,1.000,.074,1,.308,.000,0,0,,sarafbe01
320,Mitchell Robinson,27,NYK,C,6,6,97,.579,0.3,1.000,1.000,.000,.000,.000,.000,.579,.579,,,,,.364,,.474,8,,,0,0,,robinmi01
321,Brooks Barnhizer,23,OKC,SG,12,0,96,.462,4.6,.923,.462,.462,.000,.000,.077,.500,.500,.500,,,.000,.333,,.154,1,1.000,.000,0,0,,barnhbr01
322,Micah Peavy,24,NOP,SG,9,0,94,.261,11.8,.609,.391,.130,.087,.000,.391,.357,.444,.333,.000,,.111,.400,1.000,.087,1,.333,.000,0,0,,peavymi01
323,Nigel Hayes-Davis,31,PHO,SF,11,0,93,.429,15.6,.619,.048,.286,.286,.000,.381,.615,1.000,.667,.500,,.125,.375,1.000,.000,0,.000,,0,0,,hayesni01
324,Cam Christie,20,LAC,SG,8,0,92,.433,15.8,.467,.167,.267,.033,.000,.533,.429,1.000,.125,.000,,.438,.500,1.000,.033,1,.250,.500,0,0,,chrisca02
325,Isaiah Livers,27,PHO,PF,8,0,92,.438,22.3,.125,.125,.000,.000,.000,.875,1.000,1.000,,,,.357,.500,1.000,.125,2,.357,.400,0,0,,liveris01
326,KJ Simpson,23,CHO,PG,6,0,90,.351,14.3,.622,.216,.189,.189,.027,.378,.348,.500,.286,.286,.000,.357,.125,1.000,.000,0,.071,1.000,0,0,,simpskj01
327,Nick Smith Jr.,21,LAL,SG,6,0,90,.432,18.8,.514,.054,.108,.243,.108,.486,.421,.500,.500,.333,.500,.444,.125,.625,.000,0,.056,.000,0,0,,smithni01
328,Sidy Cissoko,21,POR,SF,8,0,89,.467,11.0,.667,.267,.333,.067,.000,.333,.600,.750,.600,.000,,.200,.333,1.000,.067,1,.400,.000,0,0,,cissosi01
329,Taelon Peter,23,IND,SG,9,0,87,.250,24.7,.083,.000,.042,.000,.042,.917,.500,,1.000,,.000,.227,.000,.800,.000,0,.409,.111,0,0,,peterta01
330,Pat Connaughton,33,CHO,SG,9,0,85,.462,17.5,.385,.115,.231,.038,.000,.615,.600,.000,1.000,.000,,.375,.667,1.000,.038,1,.375,.500,0,0,,connapa01
331,Jett Howard,22,ORL,SF,10,0,84,.345,20.9,.241,.069,.138,.000,.034,.759,.286,.500,.000,,1.000,.364,.500,1.000,.000,0,.136,.333,0,0,,howarje01
332,Tidjane Salaün,20,CHO,PF,7,0,83,.368,17.3,.368,.158,.211,.000,.000,.632,.429,1.000,.000,,,.333,.667,1.000,.053,1,.167,.000,0,0,,salauti01
333,Obi Toppin,27,IND,PF,3,0,82,.417,14.8,.528,.222,.167,.111,.028,.472,.632,.625,.667,.750,.000,.176,.417,1.000,.139,3,.176,.000,0,0,,toppiob01
334,Asa Newell,20,ATL,PF,8,0,80,.500,13.3,.500,.344,.156,.000,.000,.500,.500,.636,.200,,,.500,.500,1.000,.156,3,.750,.500,0,0,,newelas01
335,Dereck Lively II,21,DAL,C,5,3,80,.643,2.2,1.000,.786,.214,.000,.000,.000,.643,.636,.667,,,,.889,,.500,7,,,0,0,,livelde01
336,Dominick Barlow,22,PHI,PF,3,2,79,.500,10.7,.611,.389,.222,.000,.000,.389,.636,.714,.500,,,.286,.571,1.000,.222,3,.571,.250,0,0,,barlodo01
337,Gui Santos,23,GSW,PF,12,0,77,.429,20.3,.238,.143,.095,.000,.000,.762,.800,.667,1.000,,,.313,1.000,1.000,.000,0,.063,1.000,0,0,,santogu01
338,Branden Carlson,26,OKC,C,9,0,76,.440,14.1,.520,.400,.080,.000,.040,.480,.615,.700,.500,,.000,.250,.750,1.000,.200,5,.083,.000,0,0,,carlsbr01
339,Olivier-Maxence Prosper,23,MEM,PF,9,0,76,.500,9.5,.750,.450,.250,.050,.000,.250,.667,.667,.800,.000,,.000,.900,,.250,5,.400,.000,0,0,,prospol01
340,Chris Boucher,33,BOS,PF,7,0,76,.318,15.7,.455,.273,.136,.000,.045,.545,.600,.833,.333,,.000,.083,.667,1.000,.045,1,.250,.000,0,0,,bouchch01
341,Jordan McLaughlin,29,SAS,PG,8,0,74,.417,17.0,.375,.250,.083,.042,.000,.625,.556,.833,.000,.000,,.333,.200,1.000,.000,0,.400,.167,0,0,,mclaujo01
342,Maxime Raynaud,22,SAC,C,6,0,74,.391,8.9,.870,.261,.478,.087,.043,.130,.450,.500,.545,.000,.000,.000,.667,,.000,0,.000,,0,0,,raynama01
343,Julian Phillips,22,CHI,SF,11,0,73,.400,13.6,.500,.300,.200,.000,.000,.500,.500,.667,.250,,,.300,.800,1.000,.150,3,.900,.222,0,0,,phillju01
344,Jamison Battle,24,TOR,SF,10,0,73,.714,19.4,.286,.190,.048,.000,.048,.714,.667,1.000,.000,,.000,.733,1.000,1.000,.048,1,.333,.600,0,0,,battlja01
345,Darius Garland,26,CLE,PG,3,3,73,.333,18.4,.472,.056,.250,.111,.056,.528,.294,1.000,.111,.250,.500,.368,.400,.714,.000,0,.211,.250,0,0,,garlada01
346,Bennedict Mathurin,23,IND,SF,2,2,73,.548,13.8,.677,.226,.258,.032,.161,.323,.571,.857,.375,1.000,.400,.500,.500,.600,.032,1,.000,,0,0,,mathube01
347,Spencer Jones,24,DEN,SF,8,0,72,.556,14.1,.444,.444,.000,.000,.000,.556,.750,.750,,,,.400,.667,1.000,.111,1,.600,.333,0,0,,jonessp01
348,Gabe Vincent,29,LAL,PG,3,3,72,.231,22.8,.231,.000,.077,.077,.077,.769,.333,,.000,1.000,.000,.200,1.000,1.000,.000,0,.300,.333,0,0,,vincega01
349,Duop Reath,29,POR,C,9,0,71,.591,23.0,.091,.045,.045,.000,.000,.909,.500,1.000,.000,,,.600,1.000,1.000,.045,1,.400,.875,0,0,,reathdu01
350,Julian Strawther,23,DEN,SG,9,0,71,.367,17.0,.467,.167,.100,.200,.000,.533,.643,1.000,.667,.333,,.125,.667,1.000,.000,0,.313,.000,0,0,,strawju01
351,Gary Harris,31,MIL,SG,7,0,70,.500,15.7,.429,.143,.286,.000,.000,.571,.500,1.000,.250,,,.500,1.000,1.000,.000,0,.625,.600,0,0,,harriga01
352,Kobe Sanders,23,LAC,SG,5,0,69,.391,19.9,.391,.087,.043,.043,.217,.609,.444,1.000,.000,.000,.400,.357,.250,1.000,.000,0,.571,.500,0,0,,sandeko01
353,Tyler Kolek,24,NYK,PG,10,0,67,.417,16.1,.458,.250,.125,.083,.000,.542,.636,.667,.667,.500,,.231,.429,.667,.000,0,.077,.000,0,0,,kolekty01
354,Devin Carter,23,SAC,PG,8,0,65,.238,17.0,.476,.048,.333,.095,.000,.524,.300,1.000,.286,.000,,.182,.000,1.000,.048,1,.000,,0,0,,cartede02
355,Will Riley,19,WAS,SF,9,0,64,.444,11.7,.778,.222,.444,.056,.056,.222,.500,.750,.500,.000,.000,.250,.714,1.000,.056,1,.000,,0,0,,rileywi01
356,Nae'Qwan Tomlin,25,CLE,PF,5,0,64,.520,8.5,.720,.600,.080,.040,.000,.280,.722,.800,.500,.000,,.000,.538,,.200,4,.429,.000,0,0,,tomlina01
357,Chris Youngblood,23,OKC,SG,12,0,63,.214,23.9,.071,.000,.071,.000,.000,.929,.000,,.000,,,.231,,1.000,.000,0,.308,.500,0,0,,youngch01
358,Elijah Harkless,25,UTA,SG,6,0,63,.364,19.0,.364,.182,.000,.091,.091,.636,.500,.500,,.000,1.000,.286,.000,1.000,.000,0,.286,1.000,0,0,,harklej01
359,Monte Morris,30,IND,PG,5,0,62,.316,14.4,.579,.263,.158,.105,.053,.421,.364,.600,.000,.500,.000,.250,.750,1.000,.000,0,.375,.000,0,0,,morrimo01
360,Jericho Sims,27,MIL,C,9,0,61,.750,2.8,1.000,.500,.500,.000,.000,.000,.750,1.000,.500,,,,.667,,.750,3,,,0,0,,simsje01
361,Xavier Tillman Sr.,27,BOS,C,7,0,61,.500,13.7,.556,.167,.333,.056,.000,.444,.700,.667,.667,1.000,,.250,.857,1.000,.000,0,.250,.000,0,0,,tillmxa01
362,Kobe Brown,26,LAC,PF,7,0,60,.455,14.9,.455,.273,.182,.000,.000,.545,.800,.667,1.000,,,.167,1.000,1.000,.182,2,.500,.000,0,0,,brownko01
363,Tristan Vukcevic,22,WAS,C,10,0,59,.455,16.8,.545,.091,.136,.273,.045,.455,.583,.500,.667,.667,.000,.300,.857,1.000,.045,1,.000,,0,0,,vukcetr01
364,Aaron Holiday,29,HOU,PG,7,0,58,.556,18.2,.389,.111,.222,.056,.000,.611,.714,.500,1.000,.000,,.455,.600,1.000,.000,0,.182,.500,0,0,,holidaa01
365,Ariel Hukporti,23,NYK,C,8,2,56,.500,2.9,1.000,.750,.250,.000,.000,.000,.500,.667,.000,,,,.750,,.125,1,,,0,0,,hukpoar01
366,Cody Martin,30,IND,SF,4,0,55,.200,15.5,.500,.100,.300,.100,.000,.500,.400,1.000,.333,.000,,.000,.500,,.100,1,.400,.000,0,0,,martico01
367,Carter Bryant,20,SAS,PF,8,0,54,.286,15.5,.476,.286,.095,.095,.000,.524,.400,.667,.000,.000,,.182,.500,1.000,.048,1,.364,.000,0,0,,bryanca01
368,Thomas Bryant,28,CLE,C,8,0,54,.455,13.8,.545,.318,.182,.045,.000,.455,.833,.857,1.000,.000,,.000,.700,,.227,5,.000,,0,0,,bryanth01
369,Bobi Klintman,22,DET,SF,6,0,53,.333,16.0,.476,.143,.286,.000,.048,.524,.400,.333,.500,,.000,.273,.750,1.000,.048,1,.364,.000,0,0,,klintbo01
370,Matisse Thybulle,28,POR,SG,4,0,49,.600,16.1,.400,.400,.000,.000,.000,.600,.500,.500,,,,.667,.000,1.000,.000,0,.000,,0,0,,thybuma01
371,Kyle Anderson,32,UTA,SF,3,0,49,.471,5.6,1.000,.294,.529,.176,.000,.000,.471,.600,.333,.667,,,.500,,.059,0,,,0,0,,anderky01
372,Jordan Miller,26,LAC,SF,3,0,49,.500,17.2,.438,.250,.125,.063,.000,.563,.429,.750,.000,.000,,.556,.333,1.000,.000,0,.111,.000,0,0,,millejo02
373,Maxi Kleber,34,LAL,PF,3,0,48,.500,19.7,.250,.250,.000,.000,.000,.750,.000,.000,,,,.667,,1.000,.000,0,.000,,0,0,,klebima01
374,Noah Penda,21,ORL,SF,7,0,47,.545,6.9,.818,.455,.364,.000,.000,.182,.444,.600,.250,,,1.000,.500,1.000,.091,1,.500,1.000,0,0,,pendano01
375,Luke Travers,24,CLE,SG,6,0,47,.125,11.7,.625,.313,.250,.000,.063,.375,.200,.000,.500,,.000,.000,1.000,,.000,0,.333,.000,0,0,,travelu01
376,Bismack Biyombo,33,SAS,C,6,0,46,.500,1.6,1.000,1.000,.000,.000,.000,.000,.500,.500,,,,,1.000,,.500,1,,,0,0,,biyombi01
377,Caleb Love,24,POR,SG,5,0,45,.280,18.1,.400,.080,.280,.040,.000,.600,.400,1.000,.286,.000,,.200,.500,.667,.000,0,.067,1.000,0,0,,loveca01
378,Ryan Nembhard,22,DAL,PG,5,0,45,.467,16.5,.733,.067,.133,.267,.267,.267,.636,1.000,.000,.750,.750,.000,.286,,.000,0,.000,,0,0,,nembhry01
379,T.J. McConnell,33,IND,PG,3,0,43,.387,12.4,.806,.129,.323,.226,.129,.194,.440,.500,.300,.714,.250,.167,.364,1.000,.000,0,.167,1.000,0,0,,mccontj01
380,Jalen Pickett,26,DEN,SG,6,1,42,.500,15.9,.500,.333,.000,.083,.083,.500,.667,.500,,1.000,1.000,.333,.500,1.000,.083,1,.167,.000,0,0,,pickeja02
381,Dalen Terry,23,CHI,SG,7,0,41,.444,7.2,.778,.667,.111,.000,.000,.222,.429,.333,1.000,,,.500,1.000,1.000,.111,1,.000,,0,0,,terryda01
382,Lindy Waters III,28,SAS,SG,5,0,41,.500,25.4,.000,.000,.000,.000,.000,1.000,,,,,,.500,,1.000,.000,0,.400,.500,0,0,,waterli01
383,Rayan Rupert,21,POR,SG,7,0,40,.222,17.4,.333,.222,.111,.000,.000,.667,.333,.500,.000,,,.167,1.000,1.000,.000,0,.167,.000,0,0,,ruperra01
384,Brandon Miller,23,CHO,SF,2,2,40,.400,14.6,.560,.240,.200,.120,.000,.440,.571,.833,.600,.000,,.182,.500,1.000,.160,4,.273,.333,0,0,,millebr02
385,Jae'Sean Tate,30,HOU,SF,7,0,39,.364,11.4,.727,.182,.455,.091,.000,.273,.500,.500,.600,.000,,.000,.500,,.000,0,.000,,0,0,,tateja01
386,AJ Johnson,21,WAS,SG,8,0,38,.182,7.6,.818,.273,.545,.000,.000,.182,.222,.333,.167,,,.000,1.000,,.091,1,.500,.000,0,0,,johnsaj01
387,Jevon Carter,30,CHI,PG,3,0,38,.625,21.3,.125,.125,.000,.000,.000,.875,.000,.000,,,,.714,,.800,.000,0,.429,.667,0,0,,carteje01
388,Kelly Olynyk,34,SAS,C,4,0,37,.625,5.1,.875,.625,.250,.000,.000,.125,.571,.600,.500,,,1.000,.500,1.000,.000,0,1.000,1.000,0,0,,olynyke01
389,Johnny Furphy,21,IND,SG,3,0,37,.500,14.2,.500,.167,.333,.000,.000,.500,.333,1.000,.000,,,.667,1.000,1.000,.000,0,.333,1.000,0,0,,furphjo01
390,Rasheer Fleming,21,PHO,PF,7,0,36,.333,16.2,.400,.333,.000,.067,.000,.600,.500,.600,,.000,,.222,.667,1.000,.133,2,.333,.333,0,0,,flemira01
391,Khaman Maluach,19,PHO,C,7,0,35,.429,11.7,.571,.571,.000,.000,.000,.429,.750,.750,,,,.000,1.000,,.286,2,.333,.000,0,0,,maluakh01
392,Jonathan Mogbo,24,TOR,PF,7,0,35,.500,3.4,1.000,.500,.500,.000,.000,.000,.500,.333,.667,,,,.667,,.167,0,,,0,0,,mogbojo01
393,Malaki Branham,22,WAS,SG,5,0,34,.545,14.6,.545,.182,.273,.091,.000,.455,.833,1.000,1.000,.000,,.200,.600,1.000,.091,1,.200,.000,0,0,,branhma01
394,Mac McClung,27,IND,SG,3,0,34,.389,17.3,.444,.222,.167,.056,.000,.556,.625,.750,.333,1.000,,.200,.800,.500,.000,0,.000,,0,0,,mccluma01
395,Dylan Cardwell,24,SAC,C,3,1,33,.333,6.9,.833,.333,.500,.000,.000,.167,.400,1.000,.000,,,.000,1.000,,.500,2,1.000,.000,0,0,,cardwdy01
396,Nolan Traoré,19,BRK,PG,3,0,33,.222,18.0,.333,.222,.111,.000,.000,.667,.000,.000,.000,,,.333,,1.000,.000,0,.500,.000,0,0,,traorno01
397,Caleb Houstan,23,ATL,SF,5,0,32,.500,19.8,.250,.125,.125,.000,.000,.750,.500,1.000,.000,,,.500,1.000,1.000,.000,0,.333,.500,0,0,,houstca01
398,Jared McCain,21,PHI,SG,3,0,31,.000,13.1,.778,.111,.333,.111,.222,.222,.000,.000,.000,.000,.000,.000,,,.000,0,.500,.000,0,0,,mccaija01
399,Charles Bassey,25,MEM,C,2,0,31,.375,4.4,1.000,.375,.500,.125,.000,.000,.375,.667,.250,.000,,,.667,,.375,2,,,0,0,,bassech01
400,Joan Beringer,19,MIN,PF,8,0,30,.857,1.0,1.000,1.000,.000,.000,.000,.000,.857,.857,,,,,.833,,.857,6,,,0,0,,berinjo01
401,Jase Richardson,20,ORL,SG,7,0,30,.200,15.5,.400,.200,.200,.000,.000,.600,.500,1.000,.000,,,.000,1.000,,.000,0,.000,,0,0,,richaja02
402,Mason Plumlee,35,CHO,C,6,0,30,1.000,1.9,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,1.000,2,,,0,0,,plumlma01
403,Bryce McGowens,23,NOP,SG,5,0,30,.400,7.3,.800,.400,.400,.000,.000,.200,.500,.250,.750,,,.000,.500,,.200,1,.500,.000,0,0,,mcgowbr01
404,Jalen Green,23,PHO,SG,2,2,30,.478,18.6,.391,.174,.087,.000,.130,.609,.556,.250,.500,,1.000,.429,.000,1.000,.043,0,.143,1.000,0,0,,greenja05
405,Coby White,25,CHI,SG,1,0,30,.357,19.0,.429,.000,.286,.071,.071,.571,.333,,.500,.000,.000,.375,.000,1.000,.000,0,.125,1.000,0,0,,whiteco01
406,Yang Hansen,20,POR,C,5,0,29,.222,13.5,.667,.111,.333,.222,.000,.333,.333,1.000,.333,.000,,.000,1.000,,.111,1,.000,,0,0,,yangha01
407,GG Jackson II,21,MEM,PF,6,0,28,.286,13.5,.571,.286,.214,.071,.000,.429,.500,.500,.667,.000,,.000,.750,,.071,1,.333,.000,0,0,,jacksgg01
408,Dario Šarić,31,SAC,C,3,0,28,.200,13.0,.600,.400,.000,.000,.200,.400,.000,.000,,,.000,.500,,1.000,.000,0,1.000,.500,0,0,,saricda01
409,Wendell Moore Jr.,24,DET,SG,2,0,28,.750,7.7,.750,.250,.500,.000,.000,.250,1.000,1.000,1.000,,,.000,.333,,.250,1,1.000,.000,0,0,,moorewe01
410,PJ Hall,23,MEM,C,7,0,27,.556,11.3,.667,.333,.333,.000,.000,.333,.667,1.000,.333,,,.333,1.000,1.000,.111,1,.333,.000,0,0,,hallpj01
411,Leonard Miller,22,MIN,SF,7,0,27,.600,9.5,.700,.400,.300,.000,.000,.300,.857,1.000,.667,,,.000,.833,,.000,0,1.000,.000,0,0,,millele01
412,Tyson Etienne,26,BRK,PG,5,0,25,.182,25.7,.091,.000,.000,.000,.091,.909,.000,,,,.000,.200,,1.000,.000,0,.100,.000,0,0,,etienty01
413,E.J. Liddell,25,BRK,PF,5,0,25,.364,20.3,.273,.091,.182,.000,.000,.727,.667,1.000,.500,,,.250,.500,1.000,.000,0,.250,.500,0,0,,liddeej01
414,Zach Edey,23,MEM,C,1,1,25,.429,5.5,.857,.714,.000,.143,.000,.143,.500,.600,,.000,,.000,1.000,,.429,2,.000,,0,0,,edeyza01
415,JD Davison,23,HOU,PG,5,0,24,.500,21.6,.250,.000,.250,.000,.000,.750,.500,,.500,,,.500,1.000,1.000,.000,0,.167,.000,0,0,,davisjd01
416,DeAndre Jordan,37,NOP,C,2,1,23,.800,1.3,1.000,.800,.200,.000,.000,.000,.800,1.000,.000,,,,.500,,.400,2,,,0,0,,jordade01
417,Andre Jackson Jr.,24,MIL,SG,6,0,22,.000,24.0,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,,.000,0,.000,,0,0,,jacksan01
418,Yanic Konan Niederhauser,22,LAC,C,5,0,22,.875,3.1,1.000,.500,.500,.000,.000,.000,.875,1.000,.750,,,,.857,,.500,4,,,0,0,,konanya01
419,Keshad Johnson,24,MIA,SF,4,0,22,.250,15.3,.500,.167,.250,.000,.083,.500,.333,.500,.000,,1.000,.167,.000,1.000,.167,1,.500,.000,0,0,,johnske10
420,Tolu Smith,25,DET,PF,2,0,22,.750,2.8,1.000,.625,.375,.000,.000,.000,.750,.800,.667,,,,.667,,.250,2,,,0,0,,smithto05
421,Zeke Nnaji,25,DEN,PF,6,0,21,.571,15.6,.429,.286,.143,.000,.000,.571,1.000,1.000,1.000,,,.250,.667,1.000,.000,0,.000,,0,0,,nnajize01
422,Jeff Green,39,HOU,PF,5,0,21,.667,25.0,.000,.000,.000,.000,.000,1.000,,,,,,.667,,1.000,.000,0,.333,1.000,0,0,,greenje02
423,Mark Sears,23,MIL,PG,5,0,21,.556,18.2,.444,.111,.111,.222,.000,.556,.500,1.000,.000,.500,,.600,.000,.667,.000,0,.000,,0,0,,searsma01
424,Eric Gordon,37,PHI,SG,3,0,21,.600,22.6,.200,.200,.000,.000,.000,.800,1.000,1.000,,,,.500,1.000,1.000,.000,0,.000,,0,0,,gordoer01
425,Jamir Watkins,24,WAS,SG,3,0,21,.750,7.3,.750,.750,.000,.000,.000,.250,1.000,1.000,,,,.000,.667,,.250,1,1.000,.000,0,0,,watkija01
426,Antonio Reeves,25,CHO,SG,2,0,21,.500,21.0,.167,.000,.167,.000,.000,.833,.000,,.000,,,.600,,1.000,.000,0,.600,.667,0,0,,reevean01
427,James Wiseman,24,IND,C,1,1,20,.667,3.2,1.000,.667,.333,.000,.000,.000,.667,1.000,.000,,,,.500,,.333,1,,,0,0,,wisemja01
428,Johnny Juzang,24,MIN,SG,6,0,18,.286,22.1,.286,.000,.000,.143,.143,.714,.500,,,.000,1.000,.200,.000,1.000,.000,0,.400,.000,0,0,,juzanjo01
429,Hunter Tyson,25,DEN,PF,5,0,17,.000,17.5,.429,.000,.286,.000,.143,.571,.000,,.000,,.000,.000,,,.000,0,.250,.000,0,0,,tysonhu01
