Rk,Tm,Player,College,Year
50.0,BOS,Ryan Gomes,Providence,2005
51.0,UTA,Robert Whaley,Walsh University,2005
52.0,DEN,Axel Hervelle,,2005
53.0,BOS,Orien Greene,Louisiana,2005
54.0,NYK,Dijon Thompson,UCLA,2005
55.0,SEA,Lawrence Roberts,Mississippi State,2005
56.0,DET,Amir Johnson,,2005
57.0,PHO,Marcin Gortat,,2005
58.0,TOR,Uroš Slokar,,2005
59.0,ATL,Cenk Akyol,,2005
60.0,DET,Alex Acker,Pepperdine,2005
1.0,TOR,Andrea Bargnani,,2006
2.0,CHI,LaMarcus Aldridge,Texas,2006
3.0,CHA,Adam Morrison,Gonzaga,2006
4.0,POR,Tyrus Thomas,LSU,2006
5.0,ATL,Shelden Williams,Duke,2006
6.0,MIN,Brandon Roy,Washington,2006
7.0,BOS,Randy Foye,Villanova,2006
8.0,HOU,Rudy Gay,UConn,2006
9.0,GSW,Patrick O'Bryant,Bradley,2006
10.0,SEA,Mouhamed Sene,,2006
11.0,ORL,JJ Redick,Duke,2006
12.0,NOK,Hilton Armstrong,UConn,2006
13.0,PHI,Thabo Sefolosha,,2006
14.0,UTA,Ronnie Brewer,Arkansas,2006
15.0,NOK,Cedric Simmons,NC State,2006
16.0,CHI,Rodney Carney,Memphis,2006
17.0,IND,Shawne Williams,Memphis,2006
18.0,WAS,Oleksiy Pecherov,,2006
19.0,SAC,Quincy Douby,Rutgers University,2006
20.0,NYK,Renaldo Balkman,South Carolina,2006
21.0,PHO,Rajon Rondo,Kentucky,2006
22.0,NJN,Marcus Williams,UConn,2006
23.0,NJN,Josh Boone,UConn,2006
24.0,MEM,Kyle Lowry,Villanova,2006
25.0,CLE,Shannon Brown,Michigan State,2006
26.0,LAL,Jordan Farmar,UCLA,2006
27.0,PHO,Sergio Rodríguez,,2006
28.0,DAL,Maurice Ager,Michigan State,2006
29.0,NYK,Mardy Collins,Temple,2006
30.0,POR,Joel Freeland,,2006
31.0,POR,James White,Cincinnati,2006
32.0,HOU,Steve Novak,Marquette,2006
33.0,ATL,Solomon Jones,South Florida,2006
34.0,LAC,Paul Davis,Michigan State,2006
35.0,TOR,P.J. Tucker,Texas,2006
36.0,MIN,Craig Smith,Boston College,2006
37.0,MIN,Bobby Jones,Washington,2006
38.0,GSW,Kosta Perović,,2006
39.0,MIL,David Noel,UNC,2006
40.0,SEA,Denham Brown,UConn,2006
41.0,ORL,James Augustine,Illinois,2006
42.0,CLE,Daniel Gibson,Texas,2006
43.0,NOK,Marcus Vinicius,,2006
44.0,ORL,Lior Eliyahu,,2006
45.0,IND,Alexander Johnson,Florida State,2006
46.0,UTA,Dee Brown,Illinois,2006
47.0,UTA,Paul Millsap,Louisiana Tech,2006
48.0,WAS,Vladimir Veremeenko,,2006
49.0,DEN,Leon Powe,California,2006
50.0,CHA,Ryan Hollins,UCLA,2006
51.0,LAL,Cheikh Samb,,2006
52.0,LAC,Guillermo Díaz,Miami (FL),2006
53.0,SEA,Yotam Halperin,,2006
54.0,NJN,Hassan Adams,Arizona,2006
55.0,CLE,Ejike Ugboaja,,2006
56.0,TOR,Edin Bavčić,,2006
57.0,MIN,Loukas Mavrokefalidis,,2006
58.0,DAL,J.R. Pinnock,George Washington,2006
59.0,SAS,Damir Markota,,2006
60.0,DET,Will Blalock,Iowa State,2006
