,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
12,12,SAC,Tyrese Haliburton,Iowa State,5,333,10998,5842,1218,2947,.477,.392,.855,33.0,17.5,3.7,8.8,37.6,.164,4.8,18.9
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6
14,14,BOS,Aaron Nesmith,Vanderbilt,6,299,6511,2740,995,322,.456,.384,.825,21.8,9.2,3.3,1.1,10.9,.080,-1.9,0.2
15,15,ORL,Cole Anthony,UNC,6,341,8290,4174,1431,1313,.419,.341,.841,24.3,12.2,4.2,3.9,10.7,.062,-0.7,2.7
16,16,POR,Isaiah Stewart,Washington,6,325,7950,2809,2295,429,.508,.349,.730,24.5,8.6,7.1,1.3,16.6,.100,-1.6,0.8
17,17,MIN,Aleksej Pokusevski,,4,168,3429,1253,778,327,.391,.304,.702,20.4,7.5,4.6,1.9,-0.2,-.002,-3.1,-1.0
18,18,DAL,Josh Green,Arizona,5,291,6415,1941,777,448,.482,.380,.687,22.0,6.7,2.7,1.5,9.2,.069,-2.9,-1.5
19,19,BRK,Saddiq Bey,Villanova,5,313,9405,4391,1657,586,.411,.353,.833,30.0,14.0,5.3,1.9,15.7,.080,-0.6,3.2
20,20,MIA,Precious Achiuwa,Memphis,6,334,6689,2522,1886,327,.487,.301,.600,20.0,7.6,5.6,1.0,12.2,.088,-2.3,-0.5
21,21,PHI,Tyrese Maxey,Kentucky,6,338,10988,6851,1047,1553,.462,.381,.868,32.5,20.3,3.1,4.6,29.8,.130,1.7,10.3
22,22,DEN,Zeke Nnaji,Arizona,6,262,3097,1079,582,102,.509,.359,.655,11.8,4.1,2.2,0.4,6.7,.105,-2.7,-0.5
23,23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,.270,.227,.846,6.3,1.1,1.0,0.6,-0.3,-.048,-7.8,-0.5
24,24,MIL,R.J. Hampton,,4,170,3116,1155,466,307,.408,.338,.679,18.3,6.8,2.7,1.8,0.8,.013,-3.8,-1.4
25,25,OKC,Immanuel Quickley,Kentucky,6,346,9004,4900,1198,1344,.424,.376,.851,26.0,14.2,3.5,3.9,23.4,.125,1.3,7.5
26,26,BOS,Payton Pritchard,Oregon,6,368,7685,3513,1042,982,.453,.394,.856,20.9,9.5,2.8,2.7,22.9,.143,1.2,6.3
27,27,UTA,Udoka Azubuike,Kansas,4,84,724,256,235,14,.758,,.444,8.6,3.0,2.8,0.2,2.0,.133,-1.5,0.1
28,28,LAL,Jaden McDaniels,Washington,6,386,11085,4096,1621,610,.485,.355,.761,28.7,10.6,4.2,1.6,19.5,.084,-1.7,0.9
29,29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,.387,.333,.747,14.2,5.5,1.7,1.9,2.9,.045,-2.6,-0.5
30,30,BOS,Desmond Bane,TCU,6,334,9962,5983,1534,1274,.471,.406,.888,29.8,17.9,4.6,3.8,27.2,.131,2.3,10.7
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0
32,32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,4,177,3753,1373,489,518,.372,.310,.793,21.2,7.8,2.8,2.9,-0.2,-.002,-4.6,-2.4
35,35,SAC,Xavier Tillman Sr.,Michigan State,6,269,4266,1418,1001,322,.508,.251,.577,15.9,5.3,3.7,1.2,10.2,.115,-0.1,2.1
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,5,156,2964,949,376,304,.472,.407,.747,19.0,6.1,2.4,1.9,5.0,.081,-1.9,0.1
38,38,UTA,Saben Lee,Vanderbilt,4,134,1943,697,260,378,.421,.271,.734,14.5,5.2,1.9,2.8,3.5,.085,-1.4,0.3
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,.328,.280,.769,9.2,2.9,1.2,0.5,-0.4,-.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,.278,.200,.500,3.5,1.1,1.1,0.2,-0.1,-.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,6,314,6930,2708,881,1473,.491,.312,.841,22.1,8.6,2.8,4.7,16.0,.111,-0.4,2.9
42,42,NOP,Nick Richards,Kentucky,6,278,4869,1957,1590,162,.634,.200,.735,17.5,7.0,5.7,0.6,13.5,.133,-2.6,-0.7
43,43,SAC,Jahmi'us Ramsey,Texas Tech,3,39,349,147,45,21,.416,.271,.680,8.9,3.8,1.2,0.5,-0.1,-.008,-5.4,-0.3
44,44,CHI,Marko Simonovic,,2,16,55,23,12,0,.273,.222,.692,3.4,1.4,0.8,0.0,0.0,-.026,-12.3,-0.1
45,45,MIL,Jordan Nwora,Louisville,4,206,3359,1564,659,216,.433,.376,.807,16.3,7.6,3.2,1.0,3.0,.043,-2.8,-0.7
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,.390,.275,.717,15.5,4.6,2.9,1.1,0.5,.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,6,338,5833,2653,691,387,.433,.403,.848,17.3,7.8,2.0,1.1,15.0,.124,0.2,3.2
50,50,ATL,Skylar Mays,LSU,4,105,1111,451,122,182,.445,.345,.859,10.6,4.3,1.2,1.7,2.1,.092,-0.7,0.4
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,KJ Martin,,5,309,6674,2652,1247,371,.545,.329,.673,21.6,8.6,4.0,1.2,12.4,.089,-1.8,0.4
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,.360,.233,.895,7.5,2.7,1.2,0.2,0.0,-.006,-7.9,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,3,24,235,97,36,10,.416,.313,.765,9.8,4.0,1.5,0.4,-0.1,-.014,-6.6,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.1,0.0
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,.048,-5.5,-0.3
58,58,PHI,Paul Reed,DePaul,6,276,3455,1380,1095,226,.556,.322,.702,12.5,5.0,4.0,0.8,12.4,.173,1.0,2.6
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,6,185,3131,1300,348,273,.412,.393,.928,16.9,7.0,1.9,1.5,7.8,.120,0.3,1.8
