Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
228,Goga Bitadze,26,ORL,C,14,0,235,30,43,.698,2,6,.333,28,37,.757,.721,21,29,.724,23,48,71,16,7,18,7,30,83,0,,bitadgo01
229,Bub Carrington,20,WAS,PG,13,5,349,28,85,.329,17,39,.436,11,46,.239,.429,10,14,.714,3,49,52,57,9,2,32,33,83,0,,carrica01
230,Quinten Post,25,GSW,PF,15,7,214,30,68,.441,18,49,.367,12,19,.632,.574,5,7,.714,13,45,58,13,6,9,9,17,83,0,,postqu01
231,Mike Conley,38,MIN,PG,13,4,266,24,57,.421,18,38,.474,6,19,.316,.579,15,15,1.000,5,21,26,46,8,3,13,22,81,0,,conlemi01
232,Tobias Harris,33,DET,PF,6,6,193,28,71,.394,8,28,.286,20,43,.465,.451,17,18,.944,5,31,36,17,5,1,8,18,81,0,,harrito02
233,Trendon Watford,25,PHI,PF,9,4,194,31,59,.525,5,12,.417,26,47,.553,.568,14,19,.737,12,31,43,33,3,2,13,23,81,1,,watfotr01
234,Bruce Brown,29,DEN,SG,12,0,270,29,68,.426,9,21,.429,20,47,.426,.493,13,15,.867,14,40,54,16,9,2,10,29,80,0,,brownbr01
235,Cameron Johnson,29,DEN,SF,11,11,269,29,78,.372,8,38,.211,21,40,.525,.423,13,16,.813,7,22,29,20,6,1,6,25,79,0,,johnsca02
236,Daniss Jenkins,24,DET,PG,8,2,156,30,64,.469,11,20,.550,19,44,.432,.555,7,10,.700,6,10,16,29,12,0,11,11,78,0,,jenkida01
237,Paul Reed,26,DET,C,11,2,141,35,51,.686,4,7,.571,31,44,.705,.725,4,8,.500,24,29,53,13,12,10,13,20,78,0,,reedpa01
238,Peyton Watson,23,DEN,SF,12,2,266,28,64,.438,4,18,.222,24,46,.522,.469,18,25,.720,14,30,44,16,14,13,12,23,78,0,,watsope01
239,Craig Porter Jr.,25,CLE,PG,14,0,239,30,60,.500,11,25,.440,19,35,.543,.592,6,12,.500,20,21,41,37,14,8,12,15,77,0,,portecr01
240,Day'Ron Sharpe,24,BRK,C,12,0,189,28,45,.622,3,10,.300,25,35,.714,.656,18,27,.667,28,35,63,23,10,6,24,29,77,0,,sharpda01
241,Dru Smith,28,MIA,SG,13,0,217,29,62,.468,9,27,.333,20,35,.571,.540,10,12,.833,11,14,25,43,20,2,12,24,77,0,,smithdr01
242,Tony Bradley,28,IND,C,13,3,186,32,50,.640,0,1,.000,32,49,.653,.640,11,17,.647,26,17,43,10,2,3,4,30,75,0,,bradlto01
243,Jordan Goodwin,27,PHO,PG,11,0,184,27,63,.429,13,33,.394,14,30,.467,.532,6,8,.750,17,24,41,22,13,1,12,18,73,0,,goodwjo01
244,Walker Kessler,24,UTA,C,5,5,154,26,37,.703,6,8,.750,20,29,.690,.784,14,20,.700,23,31,54,15,7,9,16,22,72,0,,kesslwa01
245,Dean Wade,29,CLE,PF,13,2,284,24,65,.369,15,48,.313,9,17,.529,.485,9,12,.750,12,32,44,17,9,7,4,23,72,0,,wadede01
246,Vince Williams Jr.,25,MEM,SG,9,1,174,23,58,.397,14,39,.359,9,19,.474,.517,12,14,.857,6,32,38,24,7,2,18,18,72,0,,willivi01
247,Jay Huff,27,IND,C,13,2,194,25,68,.368,12,46,.261,13,22,.591,.456,9,13,.692,14,26,40,10,1,24,8,27,71,0,,huffja01
248,Lonzo Ball,28,CLE,PG,11,2,253,23,65,.354,18,53,.340,5,12,.417,.492,6,8,.750,14,30,44,59,11,2,26,20,70,0,,balllo01
249,Jaylin Williams,23,OKC,PF,13,1,247,24,71,.338,17,63,.270,7,8,.875,.458,5,7,.714,8,54,62,31,8,8,10,21,70,0,,willija07
250,Bogdan Bogdanović,33,LAC,SG,7,2,183,23,57,.404,13,35,.371,10,22,.455,.518,9,10,.900,2,21,23,22,6,1,12,18,68,0,,bogdabo01
251,Walter Clayton,22,UTA,PG,11,0,178,22,54,.407,10,29,.345,12,25,.480,.500,14,14,1.000,6,20,26,35,5,3,15,20,68,0,,claytwa01
252,Jalen Wilson,25,BRK,PF,11,0,173,21,53,.396,16,36,.444,5,17,.294,.547,10,13,.769,2,9,11,7,2,0,8,15,68,0,,wilsoja03
253,Steven Adams,32,HOU,C,11,2,239,25,49,.510,0,0,,25,49,.510,.510,17,23,.739,56,47,103,16,8,8,12,24,67,0,,adamsst01
