Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
455,Jamal Cain,26,ORL,SF,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,cainja01
456,Sharife Cooper,24,WAS,PG,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,0,,coopesh01
457,Joe Ingles,38,MIN,SF,4,0,16,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,5,0,0,0,2,0,0,,inglejo01
458,Andre Jackson Jr.,24,MIL,SG,6,0,22,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,1,2,6,2,1,2,3,0,0,,jacksan01
459,Trey Jemison,26,NYK,C,1,0,8,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,0,0,0,0,,jemistr01
460,Miles Kelly,23,DAL,PG,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,0,,kellymi02
461,Christian Koloko,25,LAL,C,2,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,0,,kolokch01
462,Chris Mañon,24,LAL,SG,2,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,0,0,1,0,2,0,0,,manonch01
463,Jared McCain,21,PHI,SG,3,0,31,0,9,.000,0,2,.000,0,7,.000,.000,0,0,,0,2,2,4,1,0,1,4,0,0,,mccaija01
464,Orlando Robinson,25,ORL,C,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,0,,robinor01
465,Garrett Temple,39,TOR,SG,2,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,1,0,0,0,0,,templga01
466,Hunter Tyson,25,DEN,PF,5,0,17,0,7,.000,0,4,.000,0,3,.000,.000,0,0,,1,9,10,0,1,0,0,2,0,0,,tysonhu01
,League Average,,,,,,,,,.468,,,.359,,,.546,.543,,,.792,,,,,,,,,,,,-9999
