Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Dist.,%_of_FGA_by_Distance_2P,%_of_FGA_by_Distance_0-3,%_of_FGA_by_Distance_3-10,%_of_FGA_by_Distance_10-16,%_of_FGA_by_Distance_16-3P,%_of_FGA_by_Distance_3P,FG%_by_Distance_2P,FG%_by_Distance_0-3,FG%_by_Distance_3-10,FG%_by_Distance_10-16,FG%_by_Distance_16-3P,FG%_by_Distance_3P,%_of_FG_Ast'd_2P,%_of_FG_Ast'd_3P,Dunks_%FGA,Dunks_#,Corner_3s_%3PA,Corner_3s_3P%,1/2_Court_Att.,1/2_Court_Md.,-additional_-9999,Trp-Dbl,Season
23.0,Ryan Rollins,23.0,MIL,PG,14.0,13.0,436.0,17.8,0.636,0.405,0.173,2.9,10.6,6.8,24.6,2.6,0.6,15.1,21.8,0.8,0.4,1.1,0.126,1.2,-0.1,1.1,0.3,,rolliry01,6.5,12.4,0.526,2.3,5.0,0.457,4.2,7.4,0.573,0.618,1.6,2.1,0.767,0.8,3.0,3.8,5.4,1.7,0.2,2.4,3.0,16.9,14.3,0.595,0.295,0.127,0.098,0.075,0.405,0.573,0.765,0.364,0.529,0.231,0.457,0.203,0.688,0.04,7.0,0.171,0.75,0.0,0.0,rolliry01,0.0,2025-26
24.0,Kevin Durant,37.0,HOU,SF,12.0,12.0,433.0,19.8,0.634,0.267,0.432,1.1,13.0,7.2,14.2,1.4,1.8,12.8,26.7,1.2,0.4,1.6,0.18,2.6,-0.5,2.1,0.4,,duranke01,8.8,17.2,0.51,1.8,4.6,0.4,6.9,12.6,0.55,0.563,6.6,7.4,0.888,0.3,4.3,4.7,3.4,1.0,0.7,3.0,2.8,25.9,15.0,0.733,0.092,0.175,0.301,0.165,0.267,0.55,0.789,0.556,0.484,0.529,0.4,0.446,0.682,0.058,12.0,0.018,0.0,0.0,0.0,duranke01,0.0,2025-26
25.0,James Harden,36.0,LAC,PG,12.0,12.0,433.0,23.9,0.645,0.559,0.45,1.9,18.0,10.2,41.4,1.3,1.1,16.0,29.5,1.4,0.2,1.6,0.181,6.4,-0.8,5.6,0.8,,hardeja01,7.7,16.8,0.455,3.8,9.4,0.398,3.9,7.4,0.528,0.567,6.9,7.6,0.912,0.6,5.8,6.3,9.0,0.9,0.4,3.8,1.9,26.0,17.8,0.441,0.129,0.228,0.069,0.015,0.559,0.528,0.808,0.348,0.643,0.333,0.398,0.085,0.467,0.0,0.0,0.035,0.5,0.0,0.0,hardeja01,2.0,2025-26
26.0,Jimmy Butler,36.0,GSW,SF,14.0,14.0,431.0,23.8,0.666,0.205,0.66,7.9,11.8,9.8,24.9,2.6,0.9,9.9,21.9,1.8,0.6,2.3,0.259,4.9,1.2,6.1,0.9,,butleji01,5.9,11.1,0.526,1.1,2.3,0.469,4.8,8.9,0.54,0.574,6.4,7.4,0.864,2.2,3.1,5.4,4.8,1.6,0.3,1.6,1.3,19.1,10.1,0.795,0.301,0.321,0.115,0.058,0.205,0.54,0.766,0.5,0.278,0.111,0.469,0.448,0.733,0.045,7.0,0.438,0.5,0.0,0.0,butleji01,0.0,2025-26
27.0,Brandon Ingram,28.0,TOR,SF,13.0,13.0,431.0,16.3,0.583,0.274,0.299,2.1,17.6,10.0,16.8,1.3,1.8,12.3,25.3,0.3,0.5,0.8,0.092,0.0,-0.4,-0.4,0.2,,ingrabr01,7.6,15.5,0.493,1.1,4.2,0.255,6.5,11.2,0.582,0.527,4.1,4.6,0.883,0.6,5.4,6.0,3.8,0.9,0.6,2.5,2.5,20.4,14.4,0.726,0.144,0.139,0.279,0.164,0.274,0.582,0.793,0.464,0.536,0.576,0.255,0.471,0.857,0.025,3.0,0.236,0.308,0.0,0.0,ingrabr01,0.0,2025-26
28.0,Devin Vassell,25.0,SAS,SG,13.0,13.0,430.0,10.2,0.529,0.588,0.144,1.4,10.5,6.2,9.8,1.6,0.4,8.1,18.3,0.1,0.5,0.6,0.071,-2.3,-0.5,-2.8,-0.1,,vassede01,5.0,12.3,0.406,2.5,7.2,0.34,2.5,5.1,0.5,0.506,1.4,1.8,0.783,0.4,3.2,3.5,2.4,1.1,0.2,1.2,2.1,13.8,19.4,0.413,0.081,0.063,0.169,0.1,0.588,0.5,0.538,0.5,0.519,0.438,0.34,0.697,0.969,0.031,4.0,0.234,0.318,0.0,0.0,vassede01,0.0,2025-26
29.0,Max Christie,22.0,DAL,SG,14.0,11.0,428.0,12.5,0.64,0.638,0.185,0.2,11.8,6.1,13.4,0.9,1.5,9.6,15.2,0.5,0.5,1.0,0.109,-0.2,0.3,0.0,0.2,,chrisma02,4.4,9.3,0.477,2.7,5.9,0.458,1.7,3.4,0.511,0.623,1.3,1.7,0.75,0.1,3.5,3.6,2.7,0.6,0.6,1.1,1.9,12.9,17.3,0.362,0.154,0.169,0.038,0.0,0.638,0.511,0.75,0.364,0.2,,0.458,0.708,1.0,0.054,7.0,0.458,0.579,0.0,0.0,chrisma02,0.0,2025-26
30.0,Andrew Wiggins,30.0,MIA,SF,13.0,13.0,428.0,14.3,0.593,0.373,0.198,5.4,9.7,7.7,11.9,1.6,2.6,13.1,21.1,0.2,0.4,0.6,0.067,0.1,0.0,0.0,0.2,,wiggian01,6.9,13.6,0.508,1.9,5.1,0.379,5.0,8.5,0.586,0.579,1.8,2.7,0.657,1.6,3.3,4.9,2.8,1.2,0.9,2.2,2.6,17.5,13.6,0.627,0.226,0.215,0.119,0.068,0.373,0.586,0.725,0.447,0.571,0.583,0.379,0.446,0.92,0.04,6.0,0.303,0.4,0.0,0.0,wiggian01,0.0,2025-26
31.0,Brandin Podziemski,22.0,GSW,SG,15.0,7.0,426.0,13.1,0.576,0.51,0.196,1.6,16.8,9.0,16.7,2.1,1.1,10.9,17.3,0.3,0.6,0.9,0.103,-1.4,0.8,-0.6,0.2,,podzibr01,4.3,9.5,0.455,1.9,4.9,0.384,2.5,4.7,0.529,0.552,1.4,1.9,0.75,0.4,4.1,4.5,3.1,1.3,0.3,1.3,2.3,11.9,17.3,0.49,0.133,0.154,0.119,0.084,0.51,0.529,0.842,0.5,0.294,0.417,0.384,0.649,0.821,0.0,0.0,0.205,0.533,0.0,0.0,podzibr01,0.0,2025-26
32.0,Dennis Schröder,32.0,SAC,PG,14.0,12.0,426.0,11.4,0.496,0.395,0.16,1.0,12.9,6.7,27.4,1.7,0.7,13.5,19.8,-0.2,0.1,-0.1,-0.006,-1.8,-1.3,-3.2,-0.1,,schrode01,4.6,11.6,0.401,1.6,4.6,0.344,3.1,7.0,0.439,0.469,1.4,1.9,0.769,0.3,3.4,3.6,5.9,1.1,0.2,1.9,1.9,12.3,15.3,0.605,0.111,0.278,0.123,0.093,0.395,0.439,0.611,0.356,0.35,0.6,0.344,0.186,0.636,0.0,0.0,0.125,0.375,0.0,0.0,schrode01,0.0,2025-26
33.0,Amen Thompson,23.0,HOU,SF,12.0,12.0,426.0,16.1,0.534,0.171,0.318,7.3,11.7,9.6,20.1,1.7,1.4,12.2,21.3,0.7,0.4,1.2,0.13,0.4,-0.4,0.1,0.2,,thompam01,6.7,14.2,0.471,0.5,2.4,0.207,6.2,11.8,0.525,0.488,3.4,4.5,0.759,2.3,3.8,6.1,5.2,1.3,0.5,2.3,2.3,17.3,8.7,0.829,0.406,0.288,0.076,0.059,0.171,0.525,0.754,0.306,0.231,0.4,0.207,0.541,1.0,0.194,32.0,0.483,0.143,0.0,0.0,thompam01,0.0,2025-26
34.0,Kon Knueppel,20.0,CHO,SF,13.0,12.0,424.0,13.3,0.609,0.604,0.189,2.2,18.2,10.4,13.1,1.0,0.6,14.9,21.1,0.3,0.2,0.5,0.056,0.1,-1.5,-1.4,0.1,,knuepko01,5.9,13.0,0.456,3.2,7.8,0.402,2.8,5.2,0.537,0.577,2.2,2.5,0.875,0.6,5.3,5.9,2.8,0.7,0.2,2.5,2.3,17.2,18.0,0.396,0.166,0.136,0.071,0.024,0.604,0.537,0.679,0.435,0.417,0.5,0.402,0.694,0.927,0.018,3.0,0.284,0.448,0.0,0.0,knuepko01,0.0,2025-26
35.0,Scottie Barnes,24.0,TOR,PF,13.0,13.0,422.0,21.5,0.592,0.262,0.246,6.4,20.0,13.4,23.4,2.1,5.2,10.4,24.1,0.8,0.7,1.6,0.177,3.1,2.4,5.4,0.8,,barnesc01,7.5,15.0,0.503,1.6,3.9,0.412,5.9,11.1,0.535,0.556,3.0,3.7,0.813,1.8,6.0,7.8,5.2,1.5,1.8,1.9,3.5,19.7,11.8,0.738,0.282,0.226,0.174,0.056,0.262,0.535,0.782,0.318,0.412,0.545,0.412,0.597,0.857,0.077,15.0,0.235,0.333,0.0,0.0,barnesc01,0.0,2025-26
36.0,Pascal Siakam,31.0,IND,PF,12.0,12.0,420.0,18.2,0.538,0.263,0.414,4.7,17.2,10.4,27.5,1.6,0.9,9.6,29.2,0.3,0.3,0.6,0.068,2.5,-0.7,1.8,0.4,,siakapa01,8.8,19.3,0.453,1.8,5.1,0.361,6.9,14.3,0.485,0.5,5.3,8.0,0.656,1.8,5.3,7.1,5.1,1.2,0.3,2.4,3.3,24.6,13.3,0.737,0.147,0.254,0.246,0.091,0.263,0.485,0.5,0.61,0.404,0.333,0.361,0.361,0.682,0.009,1.0,0.033,0.0,0.0,0.0,siakapa01,0.0,2025-26
37.0,Wendell Carter Jr.,26.0,ORL,C,14.0,14.0,419.0,14.2,0.657,0.364,0.464,11.5,15.7,13.7,8.8,1.0,2.6,18.5,16.4,0.6,0.5,1.1,0.131,-0.8,0.4,-0.5,0.2,,cartewe01,4.1,7.9,0.527,1.3,2.9,0.45,2.9,5.0,0.571,0.609,2.9,3.6,0.784,3.0,4.4,7.4,1.8,0.6,0.9,2.1,4.1,12.4,12.8,0.636,0.318,0.155,0.091,0.073,0.364,0.571,0.743,0.353,0.6,0.25,0.45,0.75,1.0,0.155,14.0,0.4,0.438,0.0,0.0,cartewe01,0.0,2025-26
38.0,Duncan Robinson,31.0,DET,SF,13.0,13.0,418.0,11.1,0.636,0.756,0.176,1.3,8.1,4.7,7.2,1.1,1.2,5.9,13.3,0.7,0.4,1.1,0.129,-0.4,0.0,-0.4,0.2,,robindu01,4.2,9.2,0.454,3.0,6.9,0.433,1.2,2.2,0.517,0.618,1.2,1.6,0.762,0.4,2.5,2.8,1.8,0.8,0.4,0.6,2.8,12.5,20.5,0.244,0.076,0.16,0.008,0.0,0.756,0.517,0.667,0.421,1.0,,0.433,0.667,0.974,0.0,0.0,0.167,0.533,0.0,0.0,robindu01,0.0,2025-26
39.0,Kelly Oubre Jr.,30.0,PHI,SF,12.0,12.0,418.0,13.7,0.606,0.45,0.255,3.7,12.4,8.0,5.5,1.5,2.2,9.8,18.3,0.5,0.4,0.8,0.096,-0.6,-0.3,-0.9,0.1,,oubreke01,6.2,12.4,0.497,1.9,5.6,0.343,4.3,6.8,0.622,0.574,2.5,3.2,0.789,1.2,3.9,5.1,1.3,1.1,0.8,1.5,2.7,16.8,14.8,0.55,0.208,0.235,0.067,0.04,0.45,0.622,0.806,0.514,0.4,0.667,0.343,0.549,0.957,0.067,9.0,0.239,0.5,0.0,0.0,oubreke01,0.0,2025-26
40.0,Grayson Allen,30.0,PHO,SG,13.0,13.0,417.0,17.8,0.638,0.659,0.197,1.6,9.2,5.4,19.6,2.4,0.9,10.9,21.2,1.0,0.4,1.4,0.159,2.9,-0.1,2.8,0.5,,allengr01,6.2,13.3,0.468,3.9,8.8,0.447,2.3,4.5,0.508,0.616,2.1,2.6,0.794,0.5,2.6,3.1,4.3,1.6,0.3,1.8,2.3,18.5,19.4,0.341,0.098,0.214,0.023,0.006,0.659,0.508,0.706,0.405,0.5,1.0,0.447,0.567,0.804,0.006,1.0,0.14,0.375,0.0,0.0,allengr01,0.0,2025-26
41.0,Mikal Bridges,29.0,NYK,SF,12.0,12.0,417.0,18.1,0.612,0.5,0.139,3.7,11.0,7.1,19.4,2.8,2.8,6.7,16.1,1.1,0.5,1.6,0.186,2.8,2.2,5.0,0.7,,bridgmi01,5.8,12.0,0.486,2.5,6.0,0.417,3.3,6.0,0.556,0.59,1.4,1.7,0.85,1.3,3.3,4.5,4.9,2.0,0.9,0.9,2.2,15.6,15.8,0.5,0.222,0.111,0.139,0.028,0.5,0.556,0.656,0.625,0.3,0.75,0.417,0.55,0.967,0.021,2.0,0.403,0.552,0.0,0.0,bridgmi01,0.0,2025-26
