Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Dist.,0-3,0-3,3-10,3-10,10-16,10-16,16-3P,16-3P,0-3,0-3,3-10,3-10,10-16,10-16,16-3P,16-3P,%FGA,#,%3PA,Att.,Md.,-9999,Trp-Dbl,Season
26.0,Brook Lopez,36.0,MIL,C,80.0,80.0,2546.0,14.8,0.624,0.482,0.178,5.0,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8,,lopezbr01,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5.0,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,16.0,.229,.780,.151,.590,.109,.464,.030,.391,.229,.780,.151,.590,.109,.464,.030,.391,.071,52,.097,0,0,lopezbr01,0.0,2024-25
27.0,Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,2517.0,23.4,0.63,0.278,0.337,9.8,32.0,21.0,13.8,1.4,1.9,12.1,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5,ASNBA3,townska01,8.9,16.9,0.526,2.0,4.7,0.42,6.9,12.2,0.567,0.584,4.7,5.7,0.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,10.8,.353,.695,.277,.476,.058,.400,.035,.262,.353,.695,.277,.476,.058,.400,.035,.262,.071,76,.062,0,0,townska01,1.0,2024-25
28.0,Bub Carrington,19.0,WAS,PG,82.0,57.0,2458.0,9.0,0.514,0.544,0.114,1.4,13.1,7.2,21.2,1.0,0.8,15.2,15.8,-0.4,0.6,0.2,0.005,-3.3,-1.3,-4.6,-1.6,,carrica01,3.7,9.1,0.401,1.7,5.0,0.339,2.0,4.2,0.475,0.493,0.8,1.0,0.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,19.1,.102,.553,.114,.353,.102,.553,.139,.462,.102,.553,.114,.353,.102,.553,.139,.462,.027,18,.135,1,0,carrica01,0.0,2024-25
29.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,20.6,0.565,0.287,0.254,2.5,16.5,9.6,43.0,1.4,2.1,16.0,33.2,3.0,2.9,5.9,0.115,3.8,0.1,3.9,3.7,MVP-7ASNBA3,cunnica01,9.8,20.8,0.469,2.1,6.0,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,12.6,.167,.605,.362,.497,.129,.479,.056,.444,.167,.605,.362,.497,.129,.479,.056,.444,.033,39,.048,4,0,cunnica01,9.0,2024-25
30.0,Tyrese Haliburton,24.0,IND,PG,73.0,73.0,2451.0,21.8,0.616,0.559,0.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9,NBA3,halibty01,6.5,13.8,0.473,3.0,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,19.3,.101,.725,.140,.582,.107,.546,.092,.462,.101,.725,.140,.582,.107,.546,.092,.462,.024,22,.073,9,0,halibty01,0.0,2024-25
31.0,Coby White,24.0,CHI,SG,74.0,73.0,2450.0,15.5,0.601,0.521,0.274,1.1,10.4,5.8,19.5,1.3,0.6,12.4,24.4,3.0,1.5,4.5,0.088,0.5,-1.4,-0.9,0.7,,whiteco01,6.9,15.1,0.453,2.9,7.9,0.37,3.9,7.3,0.544,0.55,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,16.6,.224,.669,.153,.456,.060,.507,.043,.250,.224,.669,.153,.456,.060,.507,.043,.250,.010,8,.135,8,0,whiteco01,0.0,2024-25
32.0,LeBron James,40.0,LAL,SF,70.0,70.0,2444.0,22.7,0.604,0.312,0.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,MVP-6CPOY-7ASNBA2,jamesle01,9.3,18.1,0.513,2.1,5.7,0.376,7.2,12.5,0.574,0.571,3.7,4.7,0.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,13.4,.242,.782,.230,.473,.113,.503,.104,.394,.242,.782,.230,.473,.113,.503,.104,.394,.056,71,.088,2,0,jamesle01,10.0,2024-25
33.0,Domantas Sabonis,28.0,SAC,C,70.0,70.0,2429.0,22.9,0.655,0.175,0.324,12.3,32.6,22.4,26.0,1.0,1.0,16.5,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,,sabondo01,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,8.1,.430,.708,.306,.560,.044,.462,.047,.452,.430,.708,.306,.560,.044,.462,.047,.452,.097,80,.051,0,0,sabondo01,10.0,2024-25
34.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,17.8,0.584,0.354,0.219,2.2,9.3,5.9,23.2,1.8,1.2,10.1,24.0,4.6,1.6,6.2,0.123,1.8,-1.0,0.8,1.7,,murraja01,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.3,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,15.6,.155,.667,.175,.485,.153,.468,.163,.459,.155,.667,.175,.485,.153,.468,.163,.459,.012,13,.093,3,0,murraja01,0.0,2024-25
35.0,Alperen Şengün,22.0,HOU,C,76.0,76.0,2395.0,21.4,0.545,0.079,0.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9,AS,sengual01,7.5,15.0,0.496,0.3,1.2,0.233,7.2,13.9,0.519,0.505,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,7.5,.319,.679,.405,.454,.164,.396,.033,.368,.319,.679,.405,.454,.164,.396,.033,.368,.067,65,.067,0,0,sengual01,4.0,2024-25
