Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
49,Jalen Duren,22,DET,C,11,11,29.0,7.0,10.8,.647,0.0,0.0,,7.0,10.8,.647,.647,5.4,6.6,.808,4.5,7.5,12.0,1.6,1.1,1.2,2.5,3.4,19.4,,durenja01
50,RJ Barrett,25,TOR,SF,13,13,31.5,7.2,14.3,.505,1.8,5.4,.343,5.4,8.9,.603,.570,3.0,4.2,.722,0.8,4.2,5.1,4.0,0.8,0.3,1.6,2.8,19.3,,barrerj01
51,Chet Holmgren,23,OKC,PF,10,10,29.6,6.8,11.8,.576,1.6,4.1,.390,5.2,7.7,.675,.644,4.1,4.7,.872,1.5,6.7,8.2,1.8,0.7,1.3,2.1,3.8,19.3,,holmgch01
52,Evan Mobley,24,CLE,PF,13,13,34.1,6.8,14.6,.468,1.8,4.9,.359,5.1,9.7,.524,.529,3.8,6.0,.628,2.8,6.2,9.0,4.2,1.3,1.6,2.5,2.3,19.2,,mobleev01
53,Jimmy Butler,36,GSW,SF,14,14,30.8,5.9,11.1,.526,1.1,2.3,.469,4.8,8.9,.540,.574,6.4,7.4,.864,2.2,3.1,5.4,4.8,1.6,0.3,1.6,1.3,19.1,,butleji01
54,DeMar DeRozan,36,SAC,PF,14,14,34.0,7.1,14.1,.500,0.9,2.4,.394,6.1,11.8,.521,.533,3.7,4.4,.852,0.5,2.8,3.3,3.5,1.1,0.1,1.0,2.0,18.8,,derozde01
55,Grayson Allen,30,PHO,SG,13,13,32.1,6.2,13.3,.468,3.9,8.8,.447,2.3,4.5,.508,.616,2.1,2.6,.794,0.5,2.6,3.1,4.3,1.6,0.3,1.8,2.3,18.5,,allengr01
56,Jerami Grant,31,POR,PF,13,1,27.8,5.4,11.6,.464,2.1,5.2,.403,3.3,6.5,.512,.553,5.5,6.5,.845,0.8,2.2,3.0,2.3,0.9,0.4,1.6,3.4,18.3,,grantje01
57,Alex Sarr,20,WAS,C,13,13,29.0,7.5,14.5,.519,1.1,3.1,.350,6.5,11.5,.564,.556,2.2,2.9,.737,2.4,5.8,8.2,3.6,0.7,2.2,2.4,2.2,18.3,,sarral01
58,De'Andre Hunter,28,CLE,SF,11,11,29.1,6.2,14.0,.442,1.9,6.8,.280,4.3,7.2,.595,.510,3.7,4.5,.837,0.6,4.1,4.7,3.1,0.7,0.3,1.6,2.5,18.0,,huntede01
